127.0.0.1 - - [09/Feb/2021:09:16:02 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:07 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/login HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:20 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:31 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/dashboard HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:55 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:57 +0200] "GET /bean-app/dashboard HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:57 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:57 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:57 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:57 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:22:58 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/login HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:11 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:23:19 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:43 +0200] "GET /bean-app/dashboard HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:44 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:44 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:44 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:44 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:25:44 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:34 +0200] "GET /bean-app/login HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:35 +0200] "GET /bean-app/static/css/main.beb9e63b.chunk.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:35 +0200] "GET /bean-app/static/css/2.437d98bc.chunk.css HTTP/1.1" 200 144723
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:35 +0200] "GET /bean-app/static/js/2.95f47ac4.chunk.js HTTP/1.1" 200 177338
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:35 +0200] "GET /bean-app/static/js/main.df0fbff2.chunk.js HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:35 +0200] "GET /bean-app/manifest.json HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:27:40 +0200] "POST /bean-app/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:29:13 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:33:31 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:45:16 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:10:03:40 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:10:19:25 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:11:09:46 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:11:52:46 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:12:07:58 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:12:27:48 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:12:45:26 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:13:01:45 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:13:39:56 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:13:40:25 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:13:55:44 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:14:12:22 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:14:13:58 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:15:10:01 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:15:15:25 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:15:34:07 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:16:52:28 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:17:07:57 +0200] "POST /bean-app/login HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Feb/2021:18:02:47 +0200] "POST /bean-app/login HTTP/1.1" 200 31
